trade_num,timestamp_gmt,side,volume,price,commission
1621378,2020-04-28 00:00:09,BOT,20,7799.50000000,0.00000109
1621381,2020-04-28 00:00:50,BOT,20,7788.50000000,0.00000109
1621382,2020-04-28 00:00:50,BOT,10,7788.50000000,5.5E-7
1621383,2020-04-28 00:00:50,BOT,150,7791.50000000,0.00000818
1621384,2020-04-28 00:00:50,BOT,1920,7792.00000000,0.00010472
1621385,2020-04-28 00:00:53,BOT,2100,7786.50000000,0.00011462
1621386,2020-04-28 00:00:53,BOT,20,7785.50000000,-6.4E-7
1621388,2020-04-28 00:02:08,BOT,20,7770.50000000,0.00000109
1621389,2020-04-28 00:02:08,BOT,3380,7773.50000000,-0.00010870
1621390,2020-04-28 00:02:08,BOT,3530,7772.00000000,-0.00011355
1621392,2020-04-28 00:02:09,BOT,20,7770.50000000,0.00000109
1621393,2020-04-28 00:02:09,BOT,10,7770.50000000,5.5E-7
1621394,2020-04-28 00:02:09,BOT,400,7772.50000000,0.00002187
1621395,2020-04-28 00:02:09,BOT,20,7773.50000000,-6.4E-7
1621396,2020-04-28 00:02:10,BOT,900,7773.50000000,-0.00002894
1621397,2020-04-28 00:02:11,BOT,900,7773.50000000,-0.00002894
1621398,2020-04-28 00:02:14,BOT,1100,7777.00000000,0.00006011
1621399,2020-04-28 00:02:14,BOT,720,7777.00000000,0.00003935
1621400,2020-04-28 00:02:14,BOT,1860,7778.00000000,0.00010163
1621401,2020-04-28 00:02:14,BOT,100,7778.50000000,0.00000546
1621402,2020-04-28 00:02:14,BOT,220,7780.00000000,0.00001202
1621403,2020-04-28 00:02:14,BOT,100,7779.50000000,0.00000546
1621404,2020-04-28 00:02:14,BOT,500,7779.50000000,0.00002732
1621405,2020-04-28 00:02:14,BOT,2200,7780.00000000,0.00012018
1621406,2020-04-28 00:02:14,BOT,100,7779.50000000,0.00000546
1621407,2020-04-28 00:02:14,BOT,500,7779.50000000,0.00002732
1621408,2020-04-28 00:02:14,BOT,1600,7780.00000000,0.00008740
1621410,2020-04-28 00:02:18,BOT,400,7765.00000000,0.00002189
1621411,2020-04-28 00:02:18,BOT,20,7765.50000000,0.00000110
1621412,2020-04-28 00:02:18,BOT,2680,7766.50000000,0.00014666
1621413,2020-04-28 00:02:20,BOT,1650,7755.50000000,-0.00005319
1621414,2020-04-28 00:02:20,BOT,1450,7755.50000000,-0.00004674
1621416,2020-04-28 00:02:23,BOT,3100,7755.00000000,-0.00009994
1621417,2020-04-28 00:02:25,BOT,3100,7756.00000000,-0.00009992
1621418,2020-04-28 00:02:33,BOT,4000,7756.50000000,-0.00012892
1621419,2020-04-28 00:02:33,BOT,300,7756.50000000,-0.00000967
1621420,2020-04-28 00:02:33,BOT,1300,7756.50000000,-0.00004190
1621421,2020-04-28 00:02:33,BOT,1700,7756.50000000,-0.00005479
1621422,2020-04-28 00:02:33,BOT,2700,7756.50000000,-0.00008702
1621423,2020-04-28 00:02:33,BOT,5000,7756.50000000,-0.00016116
1621424,2020-04-28 00:02:33,BOT,5000,7756.50000000,-0.00016116
1621589,2020-04-28 01:25:17,SLD,150,7717.00000000,0.00000826
1621590,2020-04-28 01:25:17,SLD,1700,7717.00000000,0.00009362
1621591,2020-04-28 01:25:17,SLD,1000,7717.00000000,0.00005507
